rec,_RAJ2000,_DEJ2000
17,114.9245,45.9126111
19,115.055125,29.9148889
20,115.0755,28.4643056
30,115.95975,49.6141944
31,116.0979583,44.52775
33,116.2802083,46.0724167
36,116.6372083,31.0226944
37,116.9989167,19.0945278
42,117.1842917,52.2249167
43,117.2011667,29.8358611
47,117.5000833,30.0249444
48,117.5895,33.8849444
51,117.73425,48.3127778
63,118.153625,52.4061389
67,118.2872083,50.1306667
68,118.3239583,27.4607222
69,118.5525417,52.4679444
70,118.6036667,39.3715278
80,119.4342917,40.0221944
82,119.7100833,36.7957778
85,119.9171667,15.3868056
86,119.9737083,55.3748611
88,120.0502917,55.3699444
95,120.4755,9.6258611
98,120.7864167,24.6564167
99,120.9966667,23.7556944
100,120.9977083,24.0424167
102,121.054875,55.3976944
103,121.0964167,43.5825833
105,121.218875,42.6045833
106,121.2315,56.4791944
107,121.272375,40.1745556
110,121.3671667,35.9466944
119,122.0845,39.0236389
121,122.1276667,19.2085
122,122.13625,46.5979722
127,122.3730417,34.5946944
129,122.5282917,5.2649722
131,122.709125,48.2923333
139,123.2107083,57.9215278
140,123.2140833,46.1992778
143,123.3575,25.1269722
147,123.5711667,46.0103333
149,123.6865417,58.2798611
152,123.806875,46.7204167
155,123.959125,47.95275
156,124.0200417,23.1340278
158,124.0620417,57.7093333
159,124.0924167,45.791
167,124.4714167,40.7264167
169,124.6814167,47.0491667
171,124.8547083,55.0972222
174,125.0450833,21.0689722
177,125.1767083,54.1265556
183,125.352625,19.1477778
184,125.414375,59.415
185,125.567625,21.0925556
193,125.9084583,47.9409722
195,125.9803333,20.9754722
196,126.084375,20.53325
201,126.293125,18.5826389
204,126.4568333,8.9277778
208,126.6499167,22.9509167
211,126.7748333,21.6452778
214,126.9100833,10.4970556
223,127.257375,47.8005556
224,127.2920417,30.3849444
232,127.5590417,47.5816667
234,127.7682917,39.62275
239,127.979125,4.2337778
242,128.0851667,41.3589167
243,128.1120417,41.9920278
244,128.1395,43.9792222
245,128.2827917,50.1667778
247,128.3429167,53.8322778
254,128.9020417,49.5951944
255,128.911625,4.7570278
260,129.1285417,4.0376667
263,129.312125,4.6958889
264,129.3607917,40.0356111
266,129.5501667,54.759
269,129.827625,30.1020278
270,129.9320833,53.0138056
273,130.1216667,29.4446667
277,130.3479167,36.3862778
278,130.3529167,12.088
282,130.598375,41.9090278
285,130.897875,41.3083611
286,130.900375,34.5202778
287,130.92375,54.0263056
292,131.2750417,44.6065833
294,131.4077083,36.9346667
297,131.5789167,28.5601111
300,131.78625,19.6310556
302,131.8276667,2.76225
306,131.9825417,25.8316667
307,131.996,39.5380833
310,132.1429167,12.8204167
311,132.1675833,1.0387778
316,132.2630833,1.5384444
321,132.6795,1.3506944
323,132.7358333,36.3353889
332,133.162625,53.4780833
333,133.4525833,57.1718056
336,133.4642917,29.9511111
338,133.55575,6.9731667
339,133.5988333,39.2508333
341,133.632625,36.5096111
343,133.6696667,42.5263889
353,134.0080417,57.3909722
358,134.2533333,0.5055278
361,134.5450417,52.1828056
364,134.6289167,29.8492778
365,134.6377083,37.0865278
370,134.9453333,-0.0056111
371,134.954375,5.0608611
380,135.372125,14.4740556
382,135.6058333,55.60925
384,135.7144167,1.6811111
387,135.8040417,9.619
389,135.9162917,3.3697778
390,136.0154583,3.5847222
391,136.08175,17.29225
394,136.207625,8.0375
399,136.4764167,25.3889444
400,136.50625,12.9880556
401,136.5207917,51.7353056
402,136.5722917,50.0892778
408,137.0001667,31.6682222
412,137.1185,28.9110556
413,137.1906667,55.5058333
414,137.1980833,29.8647778
415,137.2371667,52.2634167
416,137.26975,20.0973056
421,137.5120833,22.8517778
441,138.2119167,30.2122778
445,138.5531667,16.7423333
446,138.5544167,43.135
447,138.5737083,22.2754167
449,138.697,11.90425
451,138.8129583,17.7689722
453,138.8355417,43.0151111
454,138.8581667,55.0596389
460,139.003625,34.0085278
462,139.2507083,29.3508889
463,139.264125,52.6260833
466,139.4240833,26.9287222
468,139.4842917,34.5093056
469,139.4959583,20.4630278
470,139.5101667,20.2984167
473,139.5791667,33.5569722
479,139.793625,49.8914444
487,140.33675,52.4286667
496,140.827875,1.5831111
497,140.8427917,22.63025
499,140.9072917,40.0749722
500,140.9539167,24.8147778
501,141.057375,51.5080278
505,141.090625,40.6243611
513,141.6405,21.3850278
520,141.8479167,30.4408056
522,141.976375,29.7918611
526,142.1698333,12.6173056
527,142.184,13.8210556
531,142.4215417,2.2055556
532,142.4482083,35.531
536,142.4701667,14.4516944
537,142.51775,8.7828889
540,142.7224583,25.7494444
541,142.7781667,49.07975
543,142.7962083,52.63525
546,142.9020417,6.9523889
548,142.9325,33.5962222
551,143.1537083,41.7719444
557,143.383375,14.5845556
566,144.1291667,27.2077222
567,144.1860833,35.0250556
568,144.2440833,14.7050556
571,144.3365833,38.8931111
576,144.6399167,44.6267222
580,145.1251667,40.0876944
584,145.352625,27.89525
585,145.4562917,25.0635833
593,145.74425,25.9850556
594,145.8141667,35.1605278
600,146.3032083,27.252
602,146.5014583,22.3801944
605,146.7142083,-1.0412778
609,146.8779167,49.9244167
611,146.9387917,9.1398056
614,147.1393333,47.3676389
615,147.1962917,1.0532222
616,147.39275,44.1026944
619,147.539,33.5693333
621,147.6461667,4.7731389
623,147.7078333,17.1384167
628,148.003,4.15075
632,148.1154583,39.9904444
633,148.1318333,48.8343889
635,148.2857917,24.2991111
640,148.655125,6.6220833
642,148.7015,37.6869444
646,148.9072917,12.3123611
654,149.149125,1.4285556
656,149.3557917,38.5385
659,149.5144167,36.6153611
661,149.545,34.0035556
662,149.5707917,68.1024444
677,150.298375,0.2256944
680,150.4788333,53.2601111
681,150.5293333,3.0576944
685,150.8471667,48.3658333
686,150.8700833,46.6283333
688,150.942,16.9200833
689,150.994625,29.4700278
694,151.170125,0.3698889
695,151.2209167,44.6361389
703,151.4005417,14.5602778
710,151.71875,14.0786389
714,151.88425,14.6085833
718,152.0574167,12.4859444
719,152.1135,14.5515556
721,152.1875833,12.6879444
725,152.297,22.89175
728,152.3390833,14.1378056
731,152.463375,3.5473611
733,152.559625,53.1769722
742,152.9399167,55.3991667
747,153.2073333,30.5834167
749,153.3596667,38.6576667
750,153.3712083,38.6198333
753,153.503125,14.4996944
759,153.75975,14.6058333
767,154.0244583,38.1092222
772,154.1386667,22.0911111
774,154.4081667,6.9711111
782,154.788,48.7502222
786,154.95225,38.1018611
789,155.100625,21.3562778
790,155.1719167,13.9677222
791,155.195,46.7711667
797,155.3855417,47.9867778
799,155.4706667,13.9378333
800,155.5386667,24.2417778
802,155.584375,24.41075
804,155.6299583,4.5824167
817,155.8975,20.2849167
818,155.9637917,46.8456389
830,156.4304167,39.6463889
831,156.4821667,2.0043889
834,156.6284167,30.4510556
835,156.6289583,12.5332778
837,156.7111667,11.6660278
841,156.886125,16.9526389
842,156.8939167,19.4514167
847,157.1974583,8.8435556
851,157.4323333,22.1755556
853,157.547625,47.1546667
854,157.5830833,8.0610833
855,157.5873333,15.1921389
866,157.9652917,7.9695556
875,158.2515,42.9284167
879,158.3508333,50.6963056
881,158.3942917,11.907
891,158.7459583,32.47875
893,158.7892083,25.0380833
898,159.0489583,23.1734722
908,159.252875,28.8322222
910,159.3344167,17.0311389
912,159.3777917,27.3364167
919,159.7154583,5.6700833
926,160.1361667,28.2611667
930,160.2834167,32.2674444
932,160.43475,40.0415278
934,160.5104583,15.7375278
940,160.5985417,28.0245833
942,160.6185833,55.18225
951,160.8945417,22.1508333
954,161.040125,6.3696389
956,161.0957083,30.7248611
960,161.2616667,43.7047222
963,161.3669583,14.27325
964,161.3767917,17.6196389
965,161.386,2.139
970,161.4575417,27.6197778
972,161.5335,20.0953333
975,161.6771667,25.9315556
