SDSS_Obj,_RAJ2000,_DEJ2000
J000002.10+155254.15,0.00875,15.8817083
J000012.78+010712.72,0.05325,1.1202
J000040.04+143307.72,0.1668333,14.5521444
J000047.89+141639.09,0.1995417,14.277525
J000133.95+150453.64,0.3914583,15.0815667
J000150.32+010155.24,0.4596667,1.0320111
J000200.82+150132.23,0.5034167,15.0256194
J000321.63-095859.83,0.840125,-9.9832861
J000322.22-104614.25,0.8425833,-10.770625
J000322.48+010328.42,0.8436667,1.0578944
J000400.64-111040.72,1.0026667,-11.1779778
J000401.61-104948.80,1.0067083,-10.8302222
J000434.26-090309.30,1.14275,-9.0525833
J000511.70+153846.20,1.29875,15.6461667
J000518.59+002755.68,1.3274583,0.4654667
J000527.04+134849.61,1.3626667,13.8137806
J000603.91-004337.12,1.5162917,-0.7269778
J000605.72+135843.82,1.5238333,13.9788389
J000628.86-004702.87,1.62025,-0.7841306
J000710.75-002453.17,1.7947917,-0.4147694
J000806.51+134528.89,2.027125,13.758025
J001006.61-002609.68,2.5275417,-0.4360222
J001025.48+141723.02,2.6061667,14.2897278
J001039.34-000310.42,2.6639167,-0.0528944
J001047.89+145101.28,2.6995417,14.8503556
J001051.94-002206.38,2.7164167,-0.3684389
J001103.29-093904.24,2.7637083,-9.6511778
J001104.29-005931.01,2.767875,-0.9919472
J001136.14+134818.19,2.9005833,13.8050528
J001206.09-002454.77,3.025375,-0.4152139
J001211.62-105541.28,3.0484167,-10.9281333
J001214.81+002234.71,3.0617083,0.3763083
J001312.20+004434.57,3.3008333,0.7429361
J001320.05-104813.84,3.3335417,-10.8038444
J001338.73-084621.72,3.411375,-8.7727
J001417.49+010405.16,3.572875,1.0681
J001426.23+010350.86,3.6092917,1.0641278
J001431.85-004415.26,3.6327083,-0.7375722
J001431.89+000029.81,3.632875,0.0082806
J001434.70-000045.02,3.6445833,-0.0125056
J001455.07+001508.14,3.7294583,0.2522611
J001504.12+160838.33,3.7671667,16.1439806
J001526.84+161407.01,3.8618333,16.2352806
J001555.68+161457.92,3.982,16.2494222
J001601.18+160133.42,4.0049167,16.02595
J001601.60+001048.24,4.0066667,0.1800667
J001629.01-003626.66,4.120875,-0.6074056
J001642.53+140221.85,4.1772083,14.0394028
J001647.00+004215.38,4.1958333,0.7042722
J001702.89-094046.78,4.2620417,-9.6796611
J001726.81-105036.47,4.3617083,-10.8434639
J001734.46+004434.95,4.3935833,0.7430417
J001734.93-093236.06,4.3955417,-9.54335
J001740.51-085458.17,4.4187917,-8.9161583
J001755.39+002006.84,4.4807917,0.3352333
J001759.38-091619.80,4.4974167,-9.2721667
J001814.32-092314.84,4.5596667,-9.3874556
J001818.39-111318.19,4.576625,-11.2217194
J001842.68+151142.60,4.6778333,15.1951667
J001908.24+154457.59,4.7843333,15.7493306
J001920.83-105638.84,4.8367917,-10.9441222
J001934.55+161215.04,4.8939583,16.2041778
J001938.93-094026.14,4.9122083,-9.6739278
J001947.32+003526.76,4.9471667,0.5907667
J001957.53+150532.11,4.9897083,15.0922528
J002025.78+004934.84,5.1074167,0.8263444
J002032.65+152050.46,5.1360417,15.34735
J002032.94-000847.05,5.13725,-0.1464028
J002135.28+010956.21,5.397,1.1656139
J002220.79-005603.86,5.586625,-0.9344056
J002244.61+145659.10,5.685875,14.94975
J002257.10+161511.21,5.7379167,16.2531139
J002314.86+144834.33,5.8119167,14.8095361
J002337.68-003035.39,5.907,-0.5098306
J002339.88-000715.04,5.9161667,-0.1208444
J002343.85+141824.21,5.9327083,14.306725
J002353.10-094712.26,5.97125,-9.7867389
J002354.19-004329.56,5.9757917,-0.7248778
J002357.59-004337.26,5.9899583,-0.7270167
J002359.39+154613.55,5.9974583,15.7704306
J002416.19+141412.64,6.0674583,14.2368444
J002425.94+140410.38,6.1080833,14.06955
J002455.44+003148.75,6.231,0.5302083
J002534.40+005048.67,6.3933333,0.8468528
J002536.50+140655.20,6.4020833,14.1153333
J002537.70+000212.19,6.4070833,0.0367194
J002552.48-093942.39,6.4686667,-9.661775
J002556.06+153815.14,6.4835833,15.6375389
J002558.97+142052.64,6.4957083,14.3479556
J002601.77-093158.02,6.507375,-9.5327833
J002609.29-094545.45,6.5387083,-9.762625
J002617.51+152921.64,6.5729583,15.4893444
J002634.91+151924.84,6.6454583,15.3235667
J002649.05+000217.29,6.704375,0.0381361
J002746.39-101546.74,6.9432917,-10.2629833
J002749.73-011160.00,6.9572083,-1.2
J002757.59-000340.59,6.9899583,-0.061275
J002819.30-001446.84,7.0804167,-0.2463444
J002829.45+004651.67,7.1227083,0.7810194
J002844.80-094417.45,7.1866667,-9.7381806
J002846.82+150529.41,7.1950833,15.0915028
J002859.79+155814.05,7.249125,15.9705694
J002901.48+002102.96,7.2561667,0.3508222
J002928.42-001245.40,7.3684167,-0.2126111
J002932.87-010544.60,7.3869583,-1.0957222
J002935.58-001406.67,7.39825,-0.2351861
J002938.37+002437.40,7.409875,0.4103889
J002949.34-011405.81,7.4555833,-1.2349472
J002955.32-110655.83,7.4805,-11.1155083
J003009.05-095711.80,7.5377083,-9.9532778
J003029.82-084659.86,7.62425,-8.7832944
J003110.43+155312.80,7.7934583,15.8868889
J003112.09-002426.41,7.800375,-0.4073361
J003136.56-105317.49,7.9023333,-10.8881917
J003234.97+150210.45,8.1457083,15.0362361
J003245.22-102703.59,8.1884167,-10.4509972
J003248.96-100043.75,8.204,-10.0121528
J003314.83+001203.78,8.3117917,0.20105
J003407.89-103945.93,8.532875,-10.6627583
J003440.07-104559.44,8.6669583,-10.7665111
J003457.97-092031.96,8.7415417,-9.3422111
J003506.48+142117.35,8.777,14.3548194
J003508.55-000801.21,8.785625,-0.1336694
J003540.70-091010.35,8.9195833,-9.1695417
J003542.86+011301.47,8.9285833,1.217075
J003543.52-090342.37,8.9313333,-9.0617694
J003546.93+135901.50,8.9455417,13.98375
J003559.82-100718.12,8.99925,-10.1217
J003559.87-105559.98,8.9994583,-10.9333278
J003601.99-095318.66,9.0082917,-9.8885167
J003629.24-004342.80,9.1218333,-0.7285556
J003654.34-010745.10,9.2264167,-1.1291944
J003700.38-104143.35,9.2515833,-10.695375
J003710.56-092725.18,9.294,-9.4569944
J003715.66-092011.55,9.31525,-9.3365417
J003728.27+153734.56,9.3677917,15.6262667
J003749.14+153155.80,9.45475,15.5321667
J003817.37+135925.51,9.572375,13.9904194
J003821.21+000620.13,9.588375,0.1055917
J003828.13+000720.78,9.6172083,0.1224389
J003834.23-090646.27,9.642625,-9.1128528
J003847.43+142858.92,9.697625,14.4830333
J003851.51+160450.62,9.714625,16.0807278
J003900.23-090052.47,9.7509583,-9.014575
J003902.68+140519.94,9.7611667,14.0888722
J003910.42+150849.46,9.7934167,15.1470722
J003912.50-004509.53,9.8020833,-0.7526472
J003933.21+003550.90,9.888375,0.5974722
J003948.38-090834.60,9.9515833,-9.1429444
J003959.87+010354.78,9.9994583,1.0652167
J004029.05-101819.75,10.1210417,-10.3054861
J004037.85-001950.49,10.1577083,-0.3306917
J004046.47-085005.08,10.193625,-8.8347444
J004110.86+003918.04,10.29525,0.6550111
J004112.21-091010.28,10.300875,-9.1695222
J004116.18+151301.59,10.3174167,15.2171083
J004136.08-104428.56,10.4003333,-10.7412667
J004137.99+001527.42,10.4082917,0.2576167
J004146.11+011037.39,10.442125,1.1770528
J004148.22-091703.18,10.4509167,-9.2842167
J004150.17-092547.46,10.4590417,-9.42985
J004150.46-091811.26,10.46025,-9.3031278
J004153.29-104957.97,10.4720417,-10.8327694
J004205.03-093203.97,10.5209583,-9.5344361
J004208.38-101813.55,10.5349167,-10.3037639
J004211.31+005416.37,10.547125,0.9045472
J004215.87+005043.71,10.566125,0.845475
J004227.71-084550.76,10.6154583,-8.7641
J004229.85+152348.06,10.624375,15.3966833
J004231.05+010437.74,10.629375,1.07715
J004233.99-095442.23,10.641625,-9.9117306
J004236.85-104922.04,10.6535417,-10.8227889
J004241.96-091731.23,10.6748333,-9.2920083
J004244.67-093316.29,10.686125,-9.554525
J004245.39+005837.20,10.689125,0.977
J004251.78-093747.82,10.71575,-9.62995
J004254.68-091349.50,10.7278333,-9.2304167
J004310.11-095141.34,10.792125,-9.8614833
J004332.39+142033.21,10.8849583,14.3425583
J004351.87+004807.05,10.966125,0.8019583
J004447.49-002538.59,11.197875,-0.4273861
J004502.54-094829.17,11.2605833,-9.8081028
J004509.07-093754.17,11.2877917,-9.6317139
J004522.30+143400.04,11.3429167,14.5666778
J004551.92-091941.59,11.4663333,-9.3282194
J004602.58-085305.86,11.51075,-8.8849611
J004605.70-093010.88,11.52375,-9.5030222
J004629.24-094849.46,11.6218333,-9.8137389
J004631.55+145905.97,11.6314583,14.9849917
J004725.48-095109.88,11.8561667,-9.8527444
J004735.13+140918.45,11.896375,14.155125
J004746.43-095006.18,11.9434583,-9.83505
J004752.07-093847.41,11.9669583,-9.6465028
J004754.11-094513.99,11.9754583,-9.7538861
J004759.81+011209.15,11.9992083,1.2025417
J004803.10+160057.98,12.0129167,16.0161056
J004824.49-110832.57,12.1020417,-11.1423806
J004830.45-101743.30,12.126875,-10.2953611
J004847.01+154232.20,12.195875,15.7089444
J004847.76-003350.76,12.199,-0.5641
J005002.47-000756.75,12.5102917,-0.1324306
J005008.65-100615.75,12.5360417,-10.104375
J005027.50-084306.70,12.6145833,-8.7185278
J005049.67-090849.70,12.7069583,-9.1471389
J005057.37+010911.58,12.7390417,1.1532167
J005059.42+155323.55,12.7475833,15.889875
J005104.35-000804.42,12.768125,-0.1345611
J005116.48-090730.09,12.8186667,-9.125025
J005118.49-090112.46,12.8270417,-9.0201278
J005125.76-102644.64,12.8573333,-10.4457333
J005157.28+143348.40,12.9886667,14.5634444
J005227.91+143106.00,13.1162917,14.5183333
J005247.40-101200.38,13.1975,-10.2001056
J005257.80+002207.50,13.2408333,0.36875
J005319.63-102411.88,13.3317917,-10.4033
J005336.34-101419.20,13.4014167,-10.2386667
J005345.14-090635.24,13.4380833,-9.1097889
J005352.74+005846.52,13.46975,0.9795889
J005407.20-105030.89,13.53,-10.8419139
J005415.92-011421.64,13.5663333,-1.2393444
J005447.03-105822.83,13.6959583,-10.9730083
J005450.89+151641.25,13.7120417,15.278125
J005508.96-010247.33,13.7873333,-1.0464806
J005513.61-010433.81,13.8067083,-1.0760583
J005516.88-005504.62,13.8203333,-0.91795
J005519.77-103227.48,13.832375,-10.5409667
J005528.93-105618.91,13.8705417,-10.9385861
J005529.51-010757.95,13.8729583,-1.1327639
J005532.45-095626.54,13.8852083,-9.9407056
J005532.61+154632.95,13.885875,15.7758194
J005542.69-101733.27,13.927875,-10.292575
J005551.88-095908.33,13.9661667,-9.9856472
J005555.91-103912.68,13.9829583,-10.6535222
J005601.98+141349.24,14.00825,14.2303444
J005603.34-004941.07,14.0139167,-0.828075
J005608.90-101038.16,14.0370833,-10.1772667
J005610.67-010700.90,14.0444583,-1.1169167
J005611.55+004055.11,14.048125,0.681975
J005618.14-011430.64,14.0755833,-1.2418444
J005621.00-011035.87,14.0875,-1.1766306
J005622.53-092024.10,14.093875,-9.3400278
J005623.00+135234.79,14.0958333,13.8763306
J005623.54-005912.82,14.0980833,-0.9868944
J005624.27-090902.85,14.101125,-9.1507917
J005624.61-010834.78,14.1025417,-1.1429944
J005626.30+000237.77,14.1095833,0.043825
J005630.71-011022.36,14.1279583,-1.1728778
J005650.61+002047.12,14.210875,0.3464222
J005651.89+000021.01,14.2162083,0.0058361
J005700.33-004930.81,14.251375,-0.825225
J005702.04-005230.70,14.2585,-0.8751944
J005713.75-010044.08,14.3072917,-1.0122444
J005718.91-101633.08,14.3287917,-10.2758556
J005725.76-003111.93,14.3573333,-0.5199806
J005727.32-003406.31,14.3638333,-0.5684194
J005735.14-084010.69,14.3964167,-8.6696361
J005736.74-091424.74,14.4030833,-9.2402056
J005740.17-003528.67,14.417375,-0.5912972
J005741.88+150404.94,14.4245,15.0680389
J005742.71-101756.23,14.4279583,-10.2989528
J005745.35-002443.15,14.4389583,-0.4119861
J005746.40-091308.14,14.4433333,-9.2189278
J005753.69-004852.90,14.4737083,-0.8146944
J005756.51-093130.86,14.4854583,-9.5252389
J005800.46-001727.23,14.5019167,-0.2908972
J005808.07-100714.49,14.533625,-10.1206917
J005846.78-004506.57,14.6949167,-0.751825
J005853.15-084630.70,14.7214583,-8.7751944
J005901.19+002530.86,14.7549583,0.4252389
J005915.31+133433.39,14.8137917,13.5759417
J005930.08-105420.05,14.8753333,-10.9055694
J005937.32-101956.91,14.9055,-10.332475
J005939.22-085252.40,14.9134167,-8.8812222
J005939.97-105255.46,14.9165417,-10.8820722
J005942.11+005459.76,14.9254583,0.9166
J005948.45-101750.69,14.951875,-10.2974139
J010049.28-101754.22,15.2053333,-10.2983944
J010101.15-101808.20,15.2547917,-10.3022778
J010102.71-084840.15,15.2612917,-8.8111528
J010107.77+005127.89,15.282375,0.8577472
J010140.05-090550.34,15.416875,-9.0973167
J010142.47-102811.41,15.4269583,-10.4698361
J010238.30+151006.55,15.6595833,15.1684861
J010301.72-010639.46,15.7571667,-1.1109611
J010319.51-003522.80,15.8312917,-0.5896667
J010338.82-002928.25,15.91175,-0.4911806
J010340.00+155312.09,15.9166667,15.8866917
J010347.82-085747.04,15.94925,-8.9630667
J010358.75+151450.14,15.9947917,15.2472611
J010401.73-004846.99,16.0072083,-0.8130528
J010407.04-002518.60,16.0293333,-0.4218333
J010407.29-005812.13,16.030375,-0.9700361
J010416.96-004553.67,16.0706667,-0.7649083
J010425.27-001114.72,16.1052917,-0.1874222
J010430.12+143014.10,16.1255,14.5039167
J010433.51-001912.49,16.139625,-0.3201361
J010507.84-094232.47,16.2826667,-9.7090194
J010522.38-085643.20,16.34325,-8.9453333
J010534.80-083612.75,16.395,-8.6035417
J010542.07+144404.09,16.4252917,14.7344694
J010610.05+011359.18,16.541875,1.2331056
J010611.53-005359.61,16.5480417,-0.8998917
J010617.53-083319.19,16.5730417,-8.5553306
J010701.39+005435.40,16.7557917,0.9098333
J010704.76+133524.05,16.7698333,13.5900139
J010705.54-084923.49,16.7730833,-8.8231917
J010709.16-003718.25,16.7881667,-0.6217361
J010722.57+005533.44,16.8440417,0.9259556
J010723.22+004018.87,16.84675,0.6719083
J010753.66+001934.82,16.9735833,0.3263389
J010810.90-000604.90,17.0454167,-0.1013611
J010832.07+150122.97,17.133625,15.0230472
J010836.59+154909.43,17.1524583,15.8192861
J010859.59+152021.10,17.2482917,15.3391944
J010904.48-011212.91,17.2686667,-1.2035861
J010925.84+141953.63,17.3576667,14.3315639
J010927.18+141536.17,17.36325,14.2600472
J011002.52+133850.89,17.5105,13.6474694
J011003.16+135841.34,17.5131667,13.97815
J011004.41+154259.23,17.518375,15.7164528
J011017.14+002041.60,17.5714167,0.3448889
J011020.80-093410.28,17.5866667,-9.5695222
J011024.51+141238.76,17.602125,14.2107667
J011038.25-001641.04,17.659375,-0.2780667
J011048.06+155052.25,17.70025,15.8478472
J011059.31+002601.14,17.747125,0.43365
J011106.18+151019.60,17.77575,15.1721111
J011108.31+141322.08,17.784625,14.2228
J011114.19+145241.39,17.809125,14.8781639
J011124.80+153423.18,17.8533333,15.5731056
J011146.17+145840.35,17.942375,14.977875
J011203.33-000403.67,18.013875,-0.0676861
J011204.62-001442.44,18.01925,-0.2451222
J011227.33+154500.25,18.113875,15.7500694
J011233.68+001736.27,18.1403333,0.2934083
J011243.83+154228.15,18.182625,15.7078194
J011247.98+153143.02,18.1999167,15.5286167
J011248.60-001724.69,18.2025,-0.2901917
J011249.84+153019.52,18.2076667,15.5054222
J011253.89+153608.88,18.2245417,15.6024667
J011254.02+153249.12,18.2250833,15.5469778
J011257.42-002041.98,18.23925,-0.3449944
J011259.42+153529.20,18.2475833,15.5914444
J011259.57+152928.64,18.2482083,15.4912889
J011302.83+153138.77,18.2617917,15.5274361
J011315.68+153059.24,18.3153333,15.5164556
J011316.20+153010.54,18.3175,15.5029278
J011324.27+151427.82,18.351125,15.2410611
J011324.48+154657.94,18.352,15.7827611
J011336.75-103445.74,18.403125,-10.5793722
J011341.82-000609.83,18.42425,-0.1027306
J011347.62+153029.87,18.4484167,15.5082972
J011407.17-102152.96,18.529875,-10.3647111
J011415.78+004555.18,18.56575,0.7653278
J011416.80+153533.02,18.57,15.5925056
J011421.54+001046.93,18.58975,0.1797028
J011423.10-100622.61,18.59625,-10.1062806
J011425.01+134309.98,18.6042083,13.7194389
J011431.30+004730.27,18.6304167,0.7917417
J011446.93+003128.79,18.6955417,0.5246639
J011454.21+003026.58,18.725875,0.5073833
J011454.25+001811.81,18.7260417,0.3032806
J011457.59+002550.92,18.7399583,0.4308111
J011505.48+001919.97,18.7728333,0.3222139
J011506.79-090937.27,18.7782917,-9.1603528
J011507.33+002756.84,18.7805417,0.4657889
J011508.73+003433.57,18.786375,0.5759917
J011509.32-094549.29,18.7888333,-9.7636917
J011512.58+132751.39,18.8024167,13.464275
J011515.77+001248.52,18.8157083,0.2134778
J011541.83+133715.62,18.9242917,13.6210056
J011554.29+132112.06,18.9762083,13.35335
J011605.60-000053.68,19.0233333,-0.0149111
J011612.79-000628.38,19.0532917,-0.1078833
J011623.61+002644.77,19.098375,0.4457694
J011635.67+004531.63,19.148625,0.7587861
J011653.59+000911.27,19.2232917,0.1531306
J011654.72-102202.70,19.228,-10.3674167
J011708.94+010616.70,19.28725,1.1046389
J011725.36-002024.83,19.3556667,-0.3402306
J011736.92+141304.34,19.4038333,14.2178722
J011743.74-004953.00,19.43225,-0.8313889
J011814.00-090750.76,19.5583333,-9.1307667
J011821.68+152433.99,19.5903333,15.4094417
J011823.43+133728.42,19.597625,13.6245611
J011824.57-085241.40,19.602375,-8.8781667
J011832.24-011150.41,19.6343333,-1.1973361
J011841.91-084757.60,19.674625,-8.7993333
J011845.85+145935.68,19.6910417,14.9932444
J011853.00-003935.44,19.7208333,-0.6598444
J011853.62-010007.21,19.7234167,-1.0020028
J011904.39-000818.87,19.7682917,-0.138575
J011905.17-004707.41,19.7715417,-0.7853917
J011907.98+143555.61,19.78325,14.5987806
J011917.01-000649.47,19.820875,-0.1137417
J011932.93+145218.88,19.8872083,14.8719111
J012002.00+145139.78,20.0083333,14.86105
J012002.62+142142.32,20.0109167,14.3617556
J012012.10+143340.65,20.0504167,14.5612917
J012023.14-000444.28,20.0964167,-0.0789667
J012044.57-093559.49,20.1857083,-9.5998583
J012109.32+154140.90,20.2888333,15.6946944
J012117.60-003551.50,20.3233333,-0.5976389
J012121.31+000525.46,20.3387917,0.0904056
J012127.68-103708.97,20.3653333,-10.6191583
J012130.66+143017.96,20.37775,14.5049889
J012147.20-004643.96,20.4466667,-0.7788778
J012153.32+145344.53,20.4721667,14.8957028
J012156.97-010051.61,20.487375,-1.0143361
J012209.22-095318.80,20.5384167,-9.8885556
J012305.92-102635.41,20.7746667,-10.4431694
J012312.37-003828.15,20.8015417,-0.6411528
J012313.71-002307.14,20.807125,-0.3853167
J012315.84-090141.24,20.816,-9.0281222
J012317.00-005421.70,20.8208333,-0.9060278
J012329.27-003157.15,20.8719583,-0.5325417
J012340.12+004056.53,20.9171667,0.6823694
J012354.74+001656.51,20.9780833,0.2823639
J012408.09+140204.14,21.0337083,14.0344833
J012428.68+010819.24,21.1195,1.1386778
